39;02/04/2002;50;15;03;12;44;37;0,00;1;;SP;4.268.873,40;0;0,00;0;0,00;NAO;0,00;07;46;34;22;44;28;0;0,00;64;2.536,43;2716;59,55;0,00
40;05/04/2002;15;21;09;32;04;23;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;464.427,42;08;15;36;41;09;06;0;0,00;12;6.136,95;1114;65,86;0,00
41;09/04/2002;25;32;47;34;22;15;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;686.590,19;43;06;33;26;28;18;0;0,00;13;5.696,49;858;85,99;0,00
42;12/04/2002;42;05;06;39;14;48;0,00;1;;RN;803.642,47;0;0,00;0;0,00;NAO;0,00;38;04;45;43;21;27;0;0,00;30;2.601,16;1139;68,25;0,00
43;17/04/2002;34;01;32;39;43;10;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;310.856,25;26;32;39;11;41;05;0;0,00;16;4.037,58;784;82,09;0,00
44;19/04/2002;28;09;35;45;03;15;0,00;1;;SP;420.070,34;0;0,00;0;0,00;NAO;0,00;03;42;33;04;45;30;0;0,00;14;5.200,68;892;81,31;0,00
45;23/04/2002;19;23;47;28;02;44;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;287.623,65;42;21;30;36;46;49;0;0,00;4;14.867,47;444;133,44;0,00
46;26/04/2002;29;26;14;41;09;01;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;480.956,17;20;34;39;42;30;16;0;0,00;13;4.957,24;580;110,69;0,00
47;30/04/2002;37;13;21;26;34;03;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;686.366,74;06;30;28;44;22;09;0;0,00;17;4.027,66;1148;59,42;0,00
48;03/05/2002;43;16;42;41;32;23;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;877.244,24;18;02;19;49;39;42;0;0,00;11;5.784,17;833;76,09;0,00
49;07/05/2002;41;33;21;45;02;15;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.084.543,56;32;45;49;41;29;35;0;0,00;10;6.909,98;652;105,58;0,00
50;10/05/2002;33;07;36;40;26;08;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.307.401,67;13;35;34;42;02;15;0;0,00;16;4.642,88;1188;62,30;0,00
51;14/05/2002;11;28;07;12;22;04;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.529.151,04;33;41;47;45;48;42;0;0,00;37;1.997,74;1157;63,65;0,00
52;17/05/2002;03;17;42;26;48;39;0,00;0;&nbsp;&nbsp;0,00;0;0,00;0;0,00;SIM;1.769.566,49;07;08;48;14;43;34;0;0,00;15;5.342,57;1220;65,45;0,00
